DOC_ID,FIRST_PAGE_INDICATOR,TITLE,DAY,MONTH,YEAR,NEWSPAPER_ID,ARTICLE_DATE,EXTRA_ARTICLE_DATE,MULTIPAGE_ARTICLE,ARTICLE_ID
TSLR_1904_05_14_P9_001,NA,FEATURES OF THE WORLD'S FAIR: STUDYING THE INDIANS,14,05,1904,TSLR,1904-05-14,,,P9_001
TSLR_1904_05_14_P9_002,NA,"QUEEN ""LIL"" SNUBS FAIR OFFICIALS",14,05,1904,TSLR,,1904-05-19,,P9_002
SLGD_1904_05_14_P3_001,NA,SIGHTS AND ECHOES OF THE EXPOSITION,14,05,1904,SLGD,1904-05-14,,,P3_001
SLGD_1904_05_14_P3_002,NA,HIGH ARMY OFFICIALS DETAILED TO ST. LOUIS,14,05,1904,SLGD,,1904-05-19,,P3_002
SLGD_1904_05_14_P3_003,NA,"GERMANY OPENS EDUCATIONAL EXHIBIT, SHOWING MODEL WORK OF ITS GOVERNMENT",14,05,1904,SLGD,1904-05-14,,,P3_003
SLGD_1904_11_26_P1_001,NA,"ROOSEVELT REACHES ST. LOUIS AHEAD OF THE EXPECTED TIME, ARRIVING EARLY THIS MORNING",26,11,1904,SLGD,1904-11-26,,,P1_001
SLGD_1904_11_26_P7_001,NA,MUSEM FOR CITY NOW A CERTAINTY,26,11,1904,SLGD,1904-11-26,,,P7_001
TSLR_1904_11_26_P1_001_01,TRUE,NATION'S CHIEF EXECUTIVE ON SPECIAL TRAIN GOES DIRECT TO EXPOSITION GROUNDS,26,11,1904,TSLR,1904-11-26,,checked,P1_001_01
TSLR_1904_11_26_P1_001_02,FALSE,NATION'S CHIEF EXECUTIVE ON SPECIAL TRAIN GOES DIRECT TO EXPOSITION GROUNDS,26,11,1904,TSLR,1904-11-26,,checked,P1_001_02
TSLR_1904_11_26_P4_001,NA,CONSTABULARY MAY GO TO NEW YORK,26,11,1904,TSLR,1904-11-26,,,P4_001
TSLR_1904_11_26_P2_001_01,TRUE,MOROS TO MAKE REQUEST OF THE PRESIDENT,26,11,1904,TSLR,1904-11-26,,checked,P2_001_01
TSLR_1904_11_26_P2_001_02,FALSE,MOROS TO MAKE REQUEST OF THE PRESIDENT,26,11,1904,TSLR,1904-11-26,,checked,P2_001_02
SLPD_1904_11_26_P3_001,NA,"""I AM THE PRESIDENT OF ALL AMERICANS.""",26,11,1904,SLPD,1904-11-26,,,P3_001
SLPD_1904_11_26_P8_001,NA,ARMED FARMER ARRESTED AT FAIR,26,11,1904,SLPD,,1904-11-19,,P8_001
SLPD_1904_11_26_P8_002,NA,STOCKMAN GIVEN KNOCKOUT DROPS AT WORLD'S FAIR,26,11,1904,SLPD,1904-11-26,,,P8_002
SLPD_1904_11_26_P9_001,NA,ENGINEER WAITS TO SHAKE HANDS WITH PRESIDENT,26,11,1904,SLPD,1904-11-26,,,P9_001
TSLR_1904_04_30_P1_001_01,TRUE,DETAILS OF CEREMONIES FOR THE FAIR OPENING,30,04,1904,TSLR,1904-04-30,,checked,P1_001_01
TSLR_1904_04_30_P1_001_02,FALSE,DETAILS OF CEREMONIES FOR THE FAIR OPENING,30,04,1904,TSLR,1904-04-30,,checked,P1_001_02
TSLR_1904_04_30_P1_002,NA,HOW TO REACH WORLD'S FAIR BY STREET CARS AND TRAINS,30,04,1904,TSLR,1904-04-30,,,P1_002
TSLR_1904_04_30_P1_003,NA,"POMP, PAGEANTRY AND ELOQUENCE  WILL MARK OPENING OF FAIR",30,04,1904,TSLR,1904-04-30,,,P1_003
TSLR_1904_04_30_P1_004,NA,FLAGS TO UNFURL WHEN PRESIDENT PUSHES ,30,04,1904,TSLR,,1904-11-19,,P1_004
TSLR_1904_04_30_P1_005,NA,VISITORS MAY BOARD WARSHIP ,30,04,1904,TSLR,,1904-11-19,,P1_005
TSLR_1904_04_30_P1_006_01,TRUE,WHERE THE FAIR CEREMONIES WILL TAKE PLACE,30,04,1904,TSLR,,1904-11-19,checked,P1_006_01
TSLR_1904_04_30_P1_006_02,FALSE,WHERE THE FAIR CEREMONIES WILL TAKE PLACE,30,04,1904,TSLR,,1904-11-19,checked,P1_006_02
SLPD_1904_04_30_P4_001,NA,CALVARY FOR THE SENATORS,30,04,1904,SLPD,1904-04-30,,,P4_001
SLPD_1904_04_30_P4_002,NA,HYMN OF THE WEST,30,04,1904,SLPD,1904-04-30,,,P4_002
SLPD_1904_04_30_P4_003,NA,WHAT PROMINENT VISITORS HAVE TO SAY ABOUT THE FAIR,30,04,1904,SLPD,1904-04-30,,,P4_003
SLPD_1904_04_30_P4_004,NA,WORLD HAS NEVER SEEN LIKE OF IT,30,04,1904,SLPD,,1904-11-19,,P4_004
SLPD_1904_04_30_P4_005,NA,THRONG AT GATES HANDLED EASILY,30,04,1904,SLPD,,1904-11-19,,P4_005
SLPD_1904_04_30_P4_006_01,TRUE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,04,1904,SLPD,,1904-11-19,checked,P4_006_01
SLPD_1904_04_30_P4_006_02,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,04,1904,SLPD,,1904-11-19,checked,P4_006_02
SLPD_1904_04_30_P4_006_03,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,04,1904,SLPD,,1904-11-19,checked,P4_006_03
SLPD_1904_04_30_P4_006_04,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,04,1904,SLPD,,1904-11-19,checked,P4_006_04
SLPD_1904_04_30_P4_006_05,FALSE,SECRETARY OF WAR LAUDS PRESIDENT'S POLICY IN PHILIPPINES EXPOSITION,30,04,1904,SLPD,,1904-11-19,checked,P4_006_05
SLPD_1904_04_30_P4_007,NA,ALASKA SHOWS HER TOTEM POLES,30,04,1904,SLPD,,1904-11-19,,P4_007
SLPD_1904_04_30_P4_008,NA,FAIR GUESTS ARE BRINGING TRUNKS,30,04,1904,SLPD,,1904-11-19,,P4_008
SLPD_1904_04_30_P2_001,NA,FRANCIS RUSHES MAN OUT OF THE PHOTO,30,04,1904,SLPD,,1904-11-19,,P2_001
SLPD_1904_04_30_P2_002,NA,DOCKERY NOT ON PROGRAM,30,04,1904,SLPD,,1904-11-19,,P2_002
SLPD_1904_04_30_P2_003,NA,TAFT CHEERED EN ROUTE TO THE FAIR,30,04,1904,SLPD,,1904-11-19,,P2_003
SLPD_1904_04_30_P2_004_01,TRUE,"""MAN COULD BUILD CIVILIZATION AGAIN FROM THIS RECORD""",30,04,1904,SLPD,,1904-11-19,checked,P2_004_01
SLPD_1904_04_30_P2_004_02,FALSE,"""MAN COULD BUILD CIVILIZATION AGAIN FROM THIS RECORD""",30,04,1904,SLPD,,1904-11-19,checked,P2_004_02
SLPD_1904_04_30_P2_005,NA,BIGGEST CROWD IS HANDLED SMOOTHLY,30,04,1904,SLPD,,1904-11-19,,P2_005
SLPD_1904_04_30_P2_006,NA,RARE ANTIQUITIES OF COLONIAL WAYS,30,04,1904,SLPD,,1904-11-19,,P2_006
SLPD_1904_04_30_P2_007,NA,LADIES WELCOME MISS HELEN GOULD,30,04,1904,SLPD,,1904-11-19,,P2_007
SLGD_1904_04_30_P2_001,NA,FAIR IS SWEPT CLEAN,30,04,1904,SLGD,1904-04-30,,,P2_001
SLGD_1904_04_30_P2_002,NA,COCOPA INDIANS FROM OLD MEXICO ARRIVE,30,04,1904,SLGD,,1904-11-19,,P2_002
SLGD_1904_04_30_P2_003,NA,LIFE-SAVING EXHIBIT NEARING COMPLETION,30,04,1904,SLGD,,1904-11-19,,P2_003
SLGD_1904_04_30_P2_004,NA,"CUBAN SENATE VOTES $50,000 FOR FAIR EXHIBIT",30,04,1904,SLGD,,1904-11-19,,P2_004
SLGD_1904_04_30_P1_001_01,TRUE,GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY,30,04,1904,SLGD,1904-04-30,,checked,P1_001_01
SLGD_1904_04_30_P1_001_02,FALSE,GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY,30,04,1904,SLGD,1904-04-30,,checked,P1_001_02
SLGD_1904_04_30_P1_001_03,FALSE,GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY,30,04,1904,SLGD,1904-04-30,,checked,P1_001_03
SLGD_1904_04_30_P1_001_04,FALSE,GREATEST WORLD'S FAIR OPENS ITS GATES TO-DAY,30,04,1904,SLGD,1904-04-30,,checked,P1_001_04
TSLR_1904_05_28_P1_001_01,FALSE,MISS ROOSEVELT LEADS PARTY ON TOUR OF FAIR,28,05,1904,TSLR,1904-05-28,,checked,P1_001_01
TSLR_1904_05_28_P1_001_02,FALSE,MISS ROOSEVELT LEADS PARTY ON TOUR OF FAIR,28,05,1904,TSLR,1904-05-28,,checked,P1_001_02
TSLR_1904_05_28_P1_001_03,FALSE,MISS ROOSEVELT LEADS PARTY ON TOUR OF FAIR,28,05,1904,TSLR,1904-05-28,,checked,P1_001_03
TSLR_1904_05_28_P1_001_04,FALSE,MISS ROOSEVELT LEADS PARTY ON TOUR OF FAIR,28,05,1904,TSLR,1904-05-28,,checked,P1_001_04
TSLR_1904_05_28_P1_001_05,FALSE,MISS ROOSEVELT LEADS PARTY ON TOUR OF FAIR,28,05,1904,TSLR,1904-05-28,,checked,P1_001_05
TSLR_1904_05_28_P7_001,NA,RUSH TO ALASKAN GOLD FIELDS REPRODUCED ON THE PIKE,28,05,1904,TSLR,1904-05-28,,,P7_001
TSLR_1904_05_28_P7_002,NA,SIBERIAN RAILWAY JOURNEY A FEATURE OF THE PIKE,28,05,1904,TSLR,1904-05-28,,,P7_002
SLPD_1904_05_28_P9_001,NA,WORLD'S FAIR ROMANCES,28,05,1904,SLPD,1904-05-28,,,P9_001
SLPD_1904_05_28_P9_002,NA,SCHLEY IS DELUGED WITH INVITATIONS,28,05,1904,SLPD,1904-05-28,,,P9_002
SLPD_1904_05_29_P49_001_01,TRUE,BUILDING MORO WATER VILLAGE AT THE FAIR,29,05,1904,SLPD,,1904-05-19,checked,P49_001_01
SLPD_1904_05_29_P49_001_02,FALSE,BUILDING MORO WATER VILLAGE AT THE FAIR,29,05,1904,SLPD,,1904-05-19,checked,P49_001_02
SLPD_1904_05_29_P49_001_03,FALSE,BUILDING MORO WATER VILLAGE AT THE FAIR,29,05,1904,SLPD,,1904-05-19,checked,P49_001_03
SLPD_1904_05_29_P49_001_04,FALSE,BUILDING MORO WATER VILLAGE AT THE FAIR,29,05,1904,SLPD,,1904-05-19,checked,P49_001_04
SLPD_1904_05_29_P49_001_05,FALSE,BUILDING MORO WATER VILLAGE AT THE FAIR,29,05,1904,SLPD,,1904-05-19,checked,P49_001_05
SLPD_1904_05_29_P16_001,NA,THEIR JOKEFEST IS BUT ONCE A YEAR,29,05,1904,SLPD,,1904-05-19,,P16_001
SLPD_1904_05_29_P16_002,NA,HIGH PRAISE FOR THE WORLD'S FAIR,29,05,1904,SLPD,,1904-05-19,,P16_002
SLPD_1904_05_29_P57_001,NA,WOMEN WATER CARRIERS,29,05,1904,SLPD,,1904-05-19,,P57_001
SLPD_1904_05_29_P57_002,NA,WORLD'S FAIR TEA GIRLS,29,05,1904,SLPD,,1904-05-19,,P57_002
SLPD_1904_05_28_P9_003,NA,HOLLAND PAVILION OPEN TO VISITORS,28,05,1904,SLPD,1904-05-28,,,P9_003
SLGD_1904_05_28_P1_001_01,TRUE,CALLS CONGRESSMAN BY HIS NICKNAME: MISS ROOSEVELT AT THE FAIR,28,05,1904,SLGD,1904-05-28,,checked,P1_001_01
SLGD_1904_05_28_P1_001_02,FALSE,CALLS CONGRESSMAN BY HIS NICKNAME: MISS ROOSEVELT AT THE FAIR,28,05,1904,SLGD,1904-05-28,,checked,P1_001_02
SLGD_1904_05_28_P2_001,NA,MRS. WALTON PRESIDES OVER THE MISSISSIPPI BUILDING,28,05,1904,SLGD,1904-05-28,,,P2_001
SLGD_1904_05_28_P3_001_01,TRUE,SIGHTS AND ECHOES OF THE EXPOSITION,28,05,1904,SLGD,1904-05-28,,checked,P3_001_01
SLGD_1904_05_28_P3_001_02,FALSE,SIGHTS AND ECHOES OF THE EXPOSITION,28,05,1904,SLGD,1904-05-28,,checked,P3_001_02
SLGD_1904_05_28_P3_001_03,FALSE,SIGHTS AND ECHOES OF THE EXPOSITION,28,05,1904,SLGD,1904-05-28,,checked,P3_001_03
SLGD_1904_05_28_P3_001_04,FALSE,SIGHTS AND ECHOES OF THE EXPOSITION,28,05,1904,SLGD,1904-05-28,,checked,P3_001_04
SLGD_1904_05_28_P3_002,NA,MAY BRING BETTER CLASS OF FILIPINOS TO THE FAIR,28,05,1904,SLGD,,1904-05-19,,P3_002
SLGD_1904_06_11_P2_001_01,TRUE,SIGHTS AND ECHOES OF THE EXPOSITION,11,06,1904,SLGD,1904-06-11,,checked,P2_001_01
SLGD_1904_06_11_P2_001_02,FALSE,SIGHTS AND ECHOES OF THE EXPOSITION,11,06,1904,SLGD,1904-06-11,,checked,P2_001_02
SLGD_1904_06_11_P2_002,NA,THE WORLD'S FAIR AS A WOMAN SEES IT,11,06,1904,SLGD,1904-06-11,,,P2_002
SLGD_1904_06_11_P2_003,NA,GIVE DINNER TO PRINCE PU LUN,11,06,1904,SLGD,,1904-06-19,,P2_003
TSLR_1904_06_11_P2_001,NA,DRUMMERS OBSERVE T.P.A. DAY AT FAIR,11,06,1904,TSLR,1904-06-11,,,P2_001
TSLR_1904_06_11_P4_001_01,TRUE,HISTORIC INAUGURAL HANDICAP TO BE RUN AT THE FAIR GROUNDS ,11,06,1904,TSLR,1904-06-11,,checked,P4_001_01
TSLR_1904_06_11_P4_001_02,FALSE,HISTORIC INAUGURAL HANDICAP TO BE RUN AT THE FAIR GROUNDS ,11,06,1904,TSLR,1904-06-11,,checked,P4_001_02
TSLR_1904_06_11_P4_001_03,FALSE,HISTORIC INAUGURAL HANDICAP TO BE RUN AT THE FAIR GROUNDS ,11,06,1904,TSLR,1904-06-11,,checked,P4_001_03
TSLR_1904_06_11_P9_001_01,TRUE,FEATURES OF THE WORLD'S FAIR: BRAZIL'S BIG COFFEE BUSINESS,11,06,1904,TSLR,1904-06-11,,checked,P9_001_01
TSLR_1904_06_11_P9_001_02,FALSE,FEATURES OF THE WORLD'S FAIR: BRAZIL'S BIG COFFEE BUSINESS,11,06,1904,TSLR,1904-06-11,,checked,P9_001_02
TSLR_1904_06_11_P9_002_01,TRUE,EAST ST. LOUIS DAY AT THE FAIR WILL BE A GREAT HOLIDAY EVENT,11,06,1904,TSLR,,1904-06-19,checked,P9_002_01
TSLR_1904_06_11_P9_002_02,FALSE,EAST ST. LOUIS DAY AT THE FAIR WILL BE A GREAT HOLIDAY EVENT,11,06,1904,TSLR,,1904-06-19,checked,P9_002_02
SLPD_1904_06_11_P1_001,NA,SUNBURST STOLEN FROM HER COLLAR,11,06,1904,SLPD,1904-06-11,,,P1_001
SLPD_1904_06_11_P1_002_01,TRUE,WIRELESS TELEGRAPHY FLASHES WORLD'S FAIR NEWS DIRECT TO THE POST-DISPATCH,11,06,1904,SLPD,1904-06-11,,checked,P1_002_01
SLPD_1904_06_11_P1_002_02,FALSE,WIRELESS TELEGRAPHY FLASHES WORLD'S FAIR NEWS DIRECT TO THE POST-DISPATCH,11,06,1904,SLPD,1904-06-11,,checked,P1_002_02
SLPD_1904_06_11_P1_002_03,FALSE,WIRELESS TELEGRAPHY FLASHES WORLD'S FAIR NEWS DIRECT TO THE POST-DISPATCH,11,06,1904,SLPD,1904-06-11,,checked,P1_002_03
SLPD_1904_06_11_P1_002_04,FALSE,WIRELESS TELEGRAPHY FLASHES WORLD'S FAIR NEWS DIRECT TO THE POST-DISPATCH,11,06,1904,SLPD,1904-06-11,,checked,P1_002_04
SLPD_1904_06_11_P10_001_01,TRUE,EAST ST. LOUIS SENDS AN ARMY OF THOUSANDS TO THE FAIR TODAY,11,06,1904,SLPD,1904-06-11,,checked,P10_001_01
SLPD_1904_06_11_P10_001_02,FALSE,EAST ST. LOUIS SENDS AN ARMY OF THOUSANDS TO THE FAIR TODAY,11,06,1904,SLPD,1904-06-11,,checked,P10_001_02
SLPD_1904_06_12_P14_001_01,TRUE,HIGH-NECK RULE OF MRS. FRANCIS MEANS COSTLY SACRIFICE,12,06,1904,SLPD,,1904-06-19,checked,P14_001_01
SLPD_1904_06_12_P14_001_02,FALSE,HIGH-NECK RULE OF MRS. FRANCIS MEANS COSTLY SACRIFICE,12,06,1904,SLPD,,1904-06-19,checked,P14_001_02
SLPD_1904_06_12_P51_001_01,TRUE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_01
SLPD_1904_06_12_P51_001_02,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_02
SLPD_1904_06_12_P51_001_03,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_03
SLPD_1904_06_12_P51_001_04,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_04
SLPD_1904_06_12_P51_001_05,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_05
SLPD_1904_06_12_P51_001_06,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_06
SLPD_1904_06_12_P51_001_07,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_07
SLPD_1904_06_12_P51_001_08,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_08
SLPD_1904_06_12_P51_001_09,FALSE,MRS. BUTT-IN AT THE WORLD'S FAIR: THE UNINVITED GUEST THE SCANDAL OF ST. LOUIS SOCIETY,12,06,1904,SLPD,,1904-06-19,checked,P51_001_09
SLGD_1904_11_12_P1_001_01,TRUE,WIRELESS TEST PROVES A SUCCESS: MESSAGES TO A BALLOON,12,11,1904,SLGD,1904-11-12,,checked,P1_001_01
SLGD_1904_11_12_P1_001_02,FALSE,WIRELESS TEST PROVES A SUCCESS: MESSAGES TO A BALLOON,12,11,1904,SLGD,1904-11-12,,checked,P1_001_02
SLGD_1904_11_12_P1_001_03,FALSE,WIRELESS TEST PROVES A SUCCESS: MESSAGES TO A BALLOON,12,11,1904,SLGD,1904-11-12,,checked,P1_001_03
SLGD_1904_11_12_P9_001,NA,BOER WAR FIGHTER SLAIN BY FAIR GUARDS,12,11,1904,SLGD,1904-11-12,,,P9_001
SLGD_1904_11_12_P9_002,NA,THE WORLD'S FAIR AS A WOMAN SEES IT,12,11,1904,SLGD,,1904-11-19,,P9_002
TSLR_1904_11_12_P14_001,NA,IGORROTES WANTED TO SEE PIKE BY GASLIGHT,12,11,1904,TSLR,1904-11-12,,,P14_001
TSLR_1904_11_12_P14_002,NA,M'CORMICK VISITS THE WORLD'S FAIR,12,11,1904,TSLR,1904-11-12,,,P14_002
TSLR_1904_11_12_P4_001,NA,WILD WEST SHOW AT WORLD'S FAIR,12,11,1904,TSLR,1904-11-12,,,P4_001
TSLR_1904_11_12_P4_002,NA,CROWDS EXPECTED AT FAIR TODAY,12,11,1904,TSLR,,1904-11-19,,P4_002
SLPD_1904_11_12_P3_001,NA,BOER WAR FIGHTER KILLED BY GUARD,12,11,1904,SLPD,1904-11-12,,,P3_001
SLPD_1904_11_12_P10_001,NA,PRESIDENT ASKS QUIET FAIR VISIT,12,11,1904,SLPD,1904-11-12,,,P10_001
SLPD_1904_11_12_P1_001,NA,LADY MANAGERS' SECRET OUT,12,11,1904,SLPD,,1904-11-19,,P1_001
SLPD_1904_11_12_P5_001,NA,TWENTY-FIVE YEARS FROM TODAY IN ST. LOUIS,12,11,1904,SLPD,1904-11-12,,,P5_001
TSLR_1904_06_25_P2_001,NA,NOTES OF HAPPENINGS AT THE WORLD'S FAIR,25,06,1904,TSLR,1904-06-25,,,P2_001
TSLR_1904_06_25_P2_002,NA,BUILDING OF NEW HOUSE OF HOO HOO AT THE WORLD'S FAIR WILL BEGIN MONDAY,25,06,1904,TSLR,1904-06-25,,,P2_002
TSLR_1904_06_25_P1_001_01,TRUE,AFTER THREE CONFERENCES WITH FAIR OFFICIALS SANTOS AGREES TO MAKE FIRST AIRSHIP FLIGHT ON THE FOURTH,25,06,1904,TSLR,1904-06-25,,checked,P1_001_01
TSLR_1904_06_25_P1_001_02,FALSE,AFTER THREE CONFERENCES WITH FAIR OFFICIALS SANTOS AGREES TO MAKE FIRST AIRSHIP FLIGHT ON THE FOURTH,25,06,1904,TSLR,1904-06-25,,checked,P1_001_02
TSLR_1904_06_25_P1_001_03,FALSE,AFTER THREE CONFERENCES WITH FAIR OFFICIALS SANTOS AGREES TO MAKE FIRST AIRSHIP FLIGHT ON THE FOURTH,25,06,1904,TSLR,1904-06-25,,checked,P1_001_03
TSLR_1904_06_25_P1_001_04,FALSE,AFTER THREE CONFERENCES WITH FAIR OFFICIALS SANTOS AGREES TO MAKE FIRST AIRSHIP FLIGHT ON THE FOURTH,25,06,1904,TSLR,1904-06-25,,checked,P1_001_04
SLPD_1904_06_25_P1_001_01,TRUE,FRANCIS SAYS HE IS NOT A CANDIDATE BUT NO MAN COULD REFUSE,25,06,1904,SLPD,1904-06-25,,checked,P1_001_01
SLPD_1904_06_25_P1_001_02,FALSE,FRANCIS SAYS HE IS NOT A CANDIDATE BUT NO MAN COULD REFUSE,25,06,1904,SLPD,1904-06-25,,checked,P1_001_02
SLPD_1904_06_25_P1_001_03,FALSE,FRANCIS SAYS HE IS NOT A CANDIDATE BUT NO MAN COULD REFUSE,25,06,1904,SLPD,1904-06-25,,checked,P1_001_03
SLPD_1904_06_25_P3_001_01,TRUE,SLOW TRACK FOR THE HANDICAP,25,06,1904,SLPD,1904-06-25,,checked,P3_001_01
SLPD_1904_06_25_P3_001_02,FALSE,SLOW TRACK FOR THE HANDICAP,25,06,1904,SLPD,1904-06-25,,checked,P3_001_02
SLPD_1904_06_25_P3_002,NA,NEW YORK'S GUEST OF HONOR AGED 93,25,06,1904,SLPD,1904-06-25,,,P3_002
SLGD_1904_06_25_P2_001,NA,HOUSE OF HOO HOO AT FAIR IS BURNED: BUILDING A TOTAL LOSS,25,06,1904,SLGD,1904-06-25,,,P2_001
SLGD_1904_06_25_P2_002_01,TRUE,SIGHTS AND ECHOES OF THE EXPOSITION,25,06,1904,SLGD,1904-06-25,,checked,P2_002_01
SLGD_1904_06_25_P2_002_02,FALSE,SIGHTS AND ECHOES OF THE EXPOSITION,25,06,1904,SLGD,1904-06-25,,checked,P2_002_02
SLGD_1904_06_25_P2_002_03,FALSE,SIGHTS AND ECHOES OF THE EXPOSITION,25,06,1904,SLGD,1904-06-25,,checked,P2_002_03
SLGD_1904_06_25_P2_003,NA,VIEWS OF THE WORLD AT THE WORLD'S FAIR,25,06,1904,SLGD,,1904-06-25,,P2_003
SLGD_1904_06_25_P2_004,NA,COMMISSIONERS TO FAIR ENTERTAINED,25,06,1904,SLGD,,1904-06-25,,P2_004
SLGD_1904_06_25_P2_005,NA,TO TALK ABOUT RED MAN: INDIAN DEPARTMENT OF NATIONAL EDUCATIONAL ASSOCIATION TO CONVENE TODAY,25,06,1904,SLGD,,1904-06-25,,P2_005
SLGD_1904_06_25_P2_006_01,TRUE,UNVEIL CLARK STATUE IN KENTUCKY PAVILION,25,06,1904,SLGD,,1904-06-25,,P2_006_01
SLGD_1904_06_25_P2_006_02,FALSE,UNVEIL CLARK STATUE IN KENTUCKY PAVILION,25,06,1904,SLGD,,1904-06-25,,P2_006_02
SLGD_1904_06_25_P2_006_03,FALSE,UNVEIL CLARK STATUE IN KENTUCKY PAVILION,25,06,1904,SLGD,,1904-06-25,,P2_006_03
